name,author,description,book_id,genre
Magic Slays,ILONA ANDREWS,"In this novel in the #1 New York Times bestselling urban fantasy series, war-plagued Atlanta has never been so deadly...Good thing Kate Daniels is on the job. Kate Daniels may have quit the Order of Knights of Merciful Aid, but she’s still knee-deep in paranormal problems. Or she would be if she could get someone to hire her. Starting her own business has been more challenging than she thought it would be—now that the Order is disparaging her good name. Plus, many potential clients are afraid of getting on the bad side of the Beast Lord, who just happens to be Kate’s mate. So when Atlanta’s premier Master of the Dead calls to ask for help with a vampire on the loose, Kate leaps at the chance of some paying work. But it turns out that this is not an isolated incident, and Kate needs to get to the bottom of it—fast, or the city and everyone dear to her may pay the ultimate price...",2605,"['Urban Fantasy', 'Fantasy', 'Paranormal', 'Romance', 'Magic', 'Vampires', 'Paranormal Romance']"
The Doors of Perception and Heaven and Hell,ALDOUS HUXLEY,Two classic texts in one volume reveal Huxley's explorations into the mind's remote frontiers and the unmapped areas of human consciousness.,2606,"['Philosophy', 'Nonfiction', 'Psychology', 'Classics', 'Essays', 'Spirituality', 'Science']"
The Black Box,MICHAEL CONNELLY,"In this ""superb"" thriller, Detective Harry Bosch links the bullet from a recent crime to the unsolved killing of a young female photographer during the 1992 L.A. riots (Wall Street Journal). In a case that spans 20 years, Harry Bosch links the bullet from a recent crime to a file from 1992, the killing of a young female photographer during the L.A. riots. Harry originally investigated the murder, but it was then handed off to the Riot Crimes Task Force and never solved. Now Bosch's ballistics match indicates that her death was not random violence, but something more personal, and connected to a deeper intrigue. Like an investigator combing through the wreckage after a plane crash, Bosch searches for the ""black box,"" the one piece of evidence that will pull the case together. Riveting and relentlessly paced, The Black Box leads Harry Bosch, ""one of the greats of crime fiction"" (New York Daily News), into one of his most fraught and perilous cases.",2607,"['Mystery', 'Fiction', 'Crime', 'Thriller', 'Audiobook', 'Detective', 'Mystery Thriller']"
This Charming Man,MARIAN KEYES,"Lola Daly has just found out that her boyfriend, gorgeous, charming and powerful politician Paddy de Courcy, is getting married - to someone else. Heartbroken, she flees Dublin to a cottage in the countryside. Can a new set of friends help her to get over him?",2649,"['Chick Lit', 'Fiction', 'Romance', 'Contemporary', 'Ireland', 'Irish Literature', 'Audiobook']"
The Complete Stories,FLANNERY O'CONNOR,"Winner of the National Book Award The publication of this extraordinary volume firmly established Flannery O'Connor's monumental contribution to American fiction. There are thirty-one stories here in all, including twelve that do not appear in the only two story collections O'Connor put together in her short lifetime--Everything That Rises Must Converge and A Good Man Is Hard to Find. O'Connor published her first story, ""The Geranium,"" in 1946, while she was working on her master's degree at the University of Iowa. Arranged chronologically, this collection shows that her last story, ""Judgement Day""--sent to her publisher shortly before her death—is a brilliantly rewritten and transfigured version of ""The Geranium."" Taken together, these stories reveal a lively, penetrating talent that has given us some of the most powerful and disturbing fiction of the twentieth century. Also included is an introduction by O'Connor's longtime editor and friend, Robert Giroux.",2610,"['Short Stories', 'Fiction', 'Classics', 'Literature', 'Southern Gothic', 'Southern', 'Literary Fiction']"
Dark Visions,L. J. SMITH,"The strange power: Kaitlyn is an artist, but not an ordinary one; everything she draws comes true. When she is invited by Dr Xetes, a scientist who is studying psychic abilities, to join his school of ""talented individuals"" in California, Kaitlyn is only too happy to go. There she meets Rob, a healer, and Gabriel, a dark lone wolf, who apparently wants nothing to do with her. But with so much supernatural energy going around, it's hardly surprising that the psychics soon develop a telepathic link that can't be broken. The Possessed: Having learned the dark secrets of the psychic institute, Kaitlyn and her new friends are on the run, not even daring to contact their parents or old friends. As the group hide-out together they grow closer and Kaitlyn finally discovers Gabriel's dark secret: he's a psychic vampire. In order to survive he needs to drain other people's life-force, but he's been holding back to keep others safe. Kaitlyn offers herself as a source - and finds the experience not entirely un-enjoyable. The Passion: Back at the lab, captured like animals, Kaitlyn and her friends are still in danger from the evil Dr Xetes. To escape they will need to face the true meaning of what their psychic link really means. But Kaitlyn is battling with an internal conflict too: Rob or Gabriel? Sunlight or darkness? She'll need to search her heart for the answer.",2611,"['Young Adult', 'Fantasy', 'Paranormal', 'Romance', 'Supernatural', 'Vampires', 'Paranormal Romance']"
Tower Lord,ANTHONY RYAN,"New York Times bestselling author Anthony Ryan returns to the “wonderful universe” (Fantasy Book Critic) of Blood Song, as Vaelin Al Sorna continues on his inevitable road to destiny… King Janus’s vision of a Unified Realm has failed, drowned in the blood of brave men fighting for a cause that was forged from a lie. Sick at heart, Vaelin Al Sorna, warrior of the Sixth Order, returns home, determined to kill no more, seeking peace far from the intrigues of a troubled Realm. But those gifted with the blood-song are not destined to live quiet lives. Vaelin finds himself a target, both for those seeking revenge and those who know about his gift. And as a great threat once again moves against the Realm, Vaelin realizes that when faced with annihilation, even the most reluctant hand must eventually draw a sword.",2612,"['Fantasy', 'Epic Fantasy', 'Fiction', 'Audiobook', 'High Fantasy', 'Magic', 'Adventure']"
Look Again,LISA SCOTTOLINE,"Bestselling author Scottoline's writing is sharp, intelligent, funny, and hip. . . she gives fans of thrillers a good, twisty plot, lively characters, andan all-around fun read (""USA Today"").",2613,"['Mystery', 'Fiction', 'Book Club', 'Thriller', 'Suspense', 'Audiobook', 'Mystery Thriller']"
Fever Pitch,NICK HORNBY,"“Whether you are interested in football or not, this is tears-running-down-your-face funny, read-bits-out-loud-to-complete-strangers funny, but also highly perceptive and honest about Hornby’s obsession and the state of the game.” —GQ A brilliant memoir from the beloved, bestselling author of Dickens and Prince, Funny Girl, and High Fidelity. In America, it is soccer. But in Great Britain, it is the real football. No pads, no prayers, no prisoners. And that’s before the players even take the field. Nick Hornby has been a football fan since the moment he was conceived. Call it predestiny. Or call it preschool. Fever Pitch is his tribute to a lifelong obsession. Part autobiography, part comedy, part incisive analysis of insanity, Hornby’s award-winning memoir captures the fever pitch of fandom—its agony and ecstasy, its community, its defining role in thousands of young men’s coming-of-age stories. Fever Pitch is one for the home team. But above all, it is one for everyone who knows what it really means to have a losing season.",2614,"['Fiction', 'Sports', 'Football', 'Soccer', 'Contemporary', 'Humor', 'British Literature']"
Pandora,ANNE RICE,"""En un café del París actual, el vampiro novel David Talbot invita a Pandora, su igual, a rememorar sus casi dos mil años de existencia. Pandora inicia el relato remontándose a su infancia en el seno de una familia de patricios romanos, para adentrarse luego en su vida adulta, cuando tuvo que huir precipitadamente de Roma y buscar refugio en Antioquía, donde encontró a su gram amor, Marius. Así fue como Pandora resucitó en el reino de la vida tras la muerte y se embarcó en un viaje fascinante a traves de los tiempos""--Page 4 of cover.",2615,"['Horror', 'Vampires', 'Fantasy', 'Fiction', 'Paranormal', 'Supernatural', 'Historical Fiction']"
When it Happens,SUSANE COLASANTI,"Tara is following her dream of becoming a bass guitar rock star. But when roommates Pop and Lolly tell her about an African school for orphans, Tara decides that helping others is more important than becoming famous. A charity CD seems like a great way to raise money, since Tara is surrounded by talented friends and teachers at Rockley Park school. But before long, she realizes that the CD is much more work, and trouble, than she bargained for. Tara needs a lot of helpand a little ingenuityto pull it all together. Will she succeed? Or will all her hard work be wasted?",2624,"['Young Adult', 'Romance', 'Contemporary', 'Realistic Fiction', 'Chick Lit', 'Fiction', 'High School']"
Tricked,KEVIN HEARNE,"NEW YORK TIMES BESTSELLER • In the fourth novel of the Iron Druid Chronicles, two-thousand-year-old Druid Atticus O’Sullivan must pay his debts to cunning trickster god Coyote, a task that includes battling undead creatures of the night as well as a relentless hound of Hel and the goddess of death who commands it. “[Kevin] Hearne is a terrific storyteller with a great snarky wit. . . . Neil Gaiman’s American Gods meets Jim Butcher’s Harry Dresden.”—SFFWorld Cutting a deal with a trickster god rarely goes well for any human brave or foolish enough to try it, but Atticus doesn’t feel like he has a choice. With members of the Norse pantheon out for his blood, he can’t train his apprentice in peace, so he asks Coyote to help him fake his own death. The cost, however, might wind up being every bit as high as if he’d made no deal at all. There are things hiding in the Arizona desert that don’t want any company, and Coyote makes sure they know Atticus has arrived. And then there's the hound of Hel, Garm, who’s terribly difficult to shake and not at all convinced that Atticus is dead. Being tricked by a trickster is par for the course. But it’s the betrayal from someone he thought was a friend that shakes Atticus to the core and places his life in jeopardy. The real trick, he discovers, might be surviving his own faked death. Includes Kevin Hearne’s novella “Two Ravens and One Crow” Don’t miss any of The Iron Druid Chronicles: HOUNDED | HEXED | HAMMERED | TRICKED | TRAPPED | HUNTED | SHATTERED | STAKED | SCOURGED | BESIEGED",2616,"['Fantasy', 'Urban Fantasy', 'Audiobook', 'Fiction', 'Paranormal', 'Magic', 'Mythology']"
The Coldest Winter Ever,SISTER SOULJAH,"Winter Santiaga, the daughter of one of Brooklyn's most powerful drug czars, uses her own weapons--including sex and an aggressive attitude--to stay on top, after her father's empire is threatened by a drug war. Reader's Guide included. Reprint.",2617,"['Fiction', 'African American', 'Urban', 'Young Adult', 'Contemporary', 'Book Club', 'Adult']"
"Zen Mind, Beginner's Mind",SHUNRYŪ SUZUKI,Informal talks on Zen meditation and practice.,2618,"['Philosophy', 'Buddhism', 'Nonfiction', 'Spirituality', 'Zen', 'Self Help', 'Psychology']"
The Vegetarian,HAN KANG,"FROM HAN KANG, WINNER OF THE 2024 NOBEL PRIZE IN LITERATURE “[Han Kang’s] intense poetic prose . . . exposes the fragility of human life.”—The Nobel Committee for Literature, in the citation for the Nobel Prize A NEW YORK TIMES BESTSELLER WINNER OF THE INTERNATIONAL BOOKER PRIZE ONE OF THE NEW YORK TIMES’S 100 BEST BOOKS OF THE 21ST CENTURY “Ferocious.”—The New York Times Book Review (Ten Best Books of the Year) “Both terrifying and terrific.”—Lauren Groff “Provocative [and] shocking.”—The Washington Post Before the nightmares began, Yeong-hye and her husband lived an ordinary, controlled life. But the dreams—invasive images of blood and brutality—torture her, driving Yeong-hye to purge her mind and renounce eating meat altogether. It’s a small act of independence, but it interrupts her marriage and sets into motion an increasingly grotesque chain of events at home. As her husband, her brother-in-law and sister each fight to reassert their control, Yeong-hye obsessively defends the choice that’s become sacred to her. Soon their attempts turn desperate, subjecting first her mind, and then her body, to ever more intrusive and perverse violations, sending Yeong-hye spiraling into a dangerous, bizarre estrangement, not only from those closest to her, but also from herself. Celebrated by critics around the world, The Vegetarian is a darkly allegorical, Kafka-esque tale of power, obsession, and one woman’s struggle to break free from the violence both without and within her. A Best Book of the Year: BuzzFeed, Entertainment Weekly, Wall Street Journal, Time, Elle, The Economist, HuffPost, Slate, Bustle, The St. Louis Dispatch, Electric Literature, Publishers Weekly",2619,"['Fiction', 'Horror', 'Contemporary', 'Literary Fiction', 'Book Club', 'Audiobook', 'Mental Health']"
The Castle,FRANZ KAFKA,"From the author of The Metamorphosis and The Trial—one of the greatest writers of the twentieth century—the haunting tale of K.’s relentless, unavailing struggle with an inscrutable authority in order to gain access to the Castle. Translated and with a preface by Mark Harman. Arriving in a village to take up the position of land surveyor for the mysterious lord of a castle, the character known as K. finds himself in a bitter and baffling struggle to contact his new employer and go about his duties. The Castle's original manuscript was left unfinished by Kafka in 1922 and not published until 1926, two years after his death. Scrupulously following the fluidity and breathlessness of the sparsely punctuated original manuscript, Mark Harman’s new translation reveals levels of comedy, energy, and visual power previously unknown to English language readers.",2620,"['Fiction', 'Literature', 'Philosophy', 'German Literature', 'Classics', 'Novels', 'Czech Literature']"
The Rhesus Chart,CHARLES STROSS,"""As a newly appointed junior manager within the Laundry--the clandestine organization responsible for protecting Britain against supernatural threats--Bob Howard is expected to show some initiative to help the agency battle the forces of darkness. But shining a light on things best left in the shadows is the last thing Bob wants to do--especially when those shadows hide an occult parasite spreading a deadly virus. Traders employed by a merchant bank in London are showing signs of infection--an array of unusual symptoms such as superstrength and -speed, an uncanny talent for mind control, an extreme allergic reaction to sunlight, and an unquenchable thirst for blood. While his department is tangled up in bureaucratic red tape (and Buffy reruns), debating how to stop the rash of vampirism, Bob digs deeper into the bank's history--only to uncover a bloodcurdling conspiracy between men and monsters..""--",2621,"['Fantasy', 'Fiction', 'Dark Fantasy', 'Epic Fantasy', 'Science Fiction', 'Audiobook', 'Post Apocalyptic']"
Whitethorn Woods,MAEVE BINCHY,"When a new highway is planned that will bypass the town of Rossmore and cut through Whitethorn Woods, the town's inhabitants are divided on whether or not the town will benefit or suffer from the construction, while Father Flynn worries about the fate of St. Ann's Well, an age-old shrine on the edge of the woods that is slated for destruction. Reader's Guide available. 400,000 first printing.",2622,"['Religion', 'Nonfiction', 'Philosophy', 'Atheism', 'Politics', 'Science', 'Audiobook']"
The Vampire Diaries: The Return: Shadow Souls,L. J. SMITH,"Elena Gilbert is alive--again. When Elena sacrificed herself to save the two vampire brothers who love her--the handsome, brooding Stefan and the sleek and dangerous Damon--she was consigned to a fate beyond death. Until a powerful supernatural force pulled her back. Now Elena is not just human. She has powers and gifts that were bestowed on her in the afterlife. What's more, her blood pulses with an overwhelming and unique force that makes her irresistible to any vampire. Stefan wants to find a way to keep Elena safe so that they can make a life together. Damon, however, is driven by an insatiable desire for power, and wants Elena to rule as his princess. When Stefan is lured away from Fell's Church, Damon seizes his chance to convince her that he is the brother she is meant to be with. . . . But a darkness is infiltrating the town, and Damon, always the hunter, is now the hunted; he becomes the prey of a malevolent creature that can possess him at will, and who desires not just Elena's blood but her death. The first book in a new trilogy from L. J. Smith!",2623,"['Vampires', 'Young Adult', 'Fantasy', 'Paranormal', 'Romance', 'Supernatural', 'Fiction']"
Tess of the d'Urbervilles,THOMAS HARDY,"Etched against the background of a dying rural society, Tess of the d'Urbervilles was Thomas Hardy's 'bestseller,' and Tess Durbeyfield remains his most striking and tragic heroine. Of all the characters he created, she meant the most to him. Hopelessly torn between two men—Alec d'Urberville, a wealthy, dissolute young man who seduces her in a lonely wood, and Angel Clare, her provincial, moralistic, and unforgiving husband—Tess escapes from her vise of passion through a horrible, desperate act. 'Like the greatest characters in literature, Tess lives beyond the final pages of the book as a permanent citizen of the imagination,' said Irving Howe. 'In Tess he stakes everything on his sensuous apprehension of a young woman's life, a girl who is at once a simple milkmaid and an archetype of feminine strength. . . . Tess is that rare creature in literature: goodness made interesting.' Now Tess of the d'Urbervilles has been brought to television in a magnificent new co-production from A&E Network and London Weekend Television. Justine Waddell (Anna Karenina) stars as the tragic heroine, Tess; Oliver Milburn (Chandler & Co.) is Angel Clare; and Jason Flemyng is Alec d'Urberville. The cast also includes John McEnery (Black Beauty) as Jack Durbeyfield and Lesley Dunlop (The Elephant Man) as Joan Durbeyfield. Tess of the d'Urbervilles is directed by Ian Sharp and produced by Sarah Wilson, with a screenplay by Ted Whitehead; it was filmed in Hardy country, the beautiful English countryside in Dorset where Thomas Hardy set his novels.",2625,"['Biography', 'History', 'Nonfiction', 'Presidents', 'American History', 'Politics', 'Biography Memoir']"
Fanta C,SANDRA BROWN,"#1 New York Times bestselling author Sandra Brown has created a sensation with her contemporary novels. In Fanta C she has written a tender, funny, and deeply sensual story about a woman caught between the needs of her children, her career, and her own passionate heart. Elizabeth Burke’s days are filled with the business of running an elegant boutique and caring for her two small children. But her nights are long and empty since the death of her husband two years ago, and she spends them dreaming of the love and romance that might have been. Then Thad Randolph steps into her life—a man right out of her intimate fantasies. Elizabeth, who doesn’t believe in fairy tales and knows all too well that happy endings only happen in books, wishes she could convince herself that friendship is all she wants from Thad. But the day will come when she’ll finally have to make a choice—to remain forever true to her memories or to let go of the past and risk loving once more. “Ms. Brown’s larger-than-life heroes and heroines make you believe all the warm, wonderful, wild things in life.”—Rendezvous",2626,"['Science Fiction', 'Time Travel', 'Historical Fiction', 'Fiction', 'Fantasy', 'Historical', 'Science Fiction Fantasy']"
The Target,DAVID BALDACCI,"The President knows it's a perilous, high-risk assignment. If he gives the order, he has the opportunity to take down a global menace, once and for all. If the mission fails, he would face certain impeachment, and the threats against the nation would multiply. So the president turns to the one team that can pull off the impossible: Will Robie and his partner, Jessica Reel. Together, Robie and Reel's talents as assassins are unmatched. But there are some in power who don't trust the pair. They doubt their willingness to follow orders. And they will do anything to see that the two assassins succeed, but that they do not survive. As they prepare for their mission, Reel faces a personal crisis that could well lead old enemies right to her doorstep, resurrecting the ghosts of her earlier life and bringing stark danger to all those close to her. And all the while, Robie and Reel are stalked by a new adversary: an unknown and unlikely assassin, a woman who has trained her entire life to kill, and who has her own list of targets--a list that includes Will Robie and Jessica Reel.",2627,"['Thriller', 'Fiction', 'Mystery', 'Audiobook', 'Suspense', 'Crime', 'Mystery Thriller']"
Just Mercy,BRYAN STEVENSON,"#1 NEW YORK TIMES BESTSELLER • NOW A MAJOR MOTION PICTURE STARRING MICHAEL B. JORDAN AND JAMIE FOXX • A powerful true story about the potential for mercy to redeem us, and a clarion call to fix our broken system of justice—from one of the most brilliant and influential lawyers of our time. “[Bryan Stevenson’s] dedication to fighting for justice and equality has inspired me and many others and made a lasting impact on our country.”—John Legend NAMED ONE OF THE MOST INFLUENTIAL BOOKS OF THE DECADE BY CNN • Named One of the Best Books of the Year by The New York Times • The Washington Post • The Boston Globe • The Seattle Times • Esquire • Time Bryan Stevenson was a young lawyer when he founded the Equal Justice Initiative, a legal practice dedicated to defending those most desperate and in need: the poor, the wrongly condemned, and women and children trapped in the farthest reaches of our criminal justice system. One of his first cases was that of Walter McMillian, a young man who was sentenced to die for a notorious murder he insisted he didn’t commit. The case drew Bryan into a tangle of conspiracy, political machination, and legal brinksmanship—and transformed his understanding of mercy and justice forever. Just Mercy is at once an unforgettable account of an idealistic, gifted young lawyer’s coming of age, a moving window into the lives of those he has defended, and an inspiring argument for compassion in the pursuit of true justice. Winner of the Carnegie Medal for Excellence in Nonfiction • Winner of the NAACP Image Award for Nonfiction • Winner of a Books for a Better Life Award • Finalist for the Los Angeles Times Book Prize • Finalist for the Kirkus Reviews Prize • An American Library Association Notable Book “Every bit as moving as To Kill a Mockingbird, and in some ways more so . . . a searing indictment of American criminal justice and a stirring testament to the salvation that fighting for the vulnerable sometimes yields.”—David Cole, The New York Review of Books “Searing, moving . . . Bryan Stevenson may, indeed, be America’s Mandela.”—Nicholas Kristof, The New York Times “You don’t have to read too long to start cheering for this man. . . . The message of this book . . . is that evil can be overcome, a difference can be made. Just Mercy will make you upset and it will make you hopeful.”—Ted Conover, The New York Times Book Review “Inspiring . . . a work of style, substance and clarity . . . Stevenson is not only a great lawyer, he’s also a gifted writer and storyteller.”—The Washington Post “As deeply moving, poignant and powerful a book as has been, and maybe ever can be, written about the death penalty.”—The Financial Times “Brilliant.”—The Philadelphia Inquirer",2628,"['Nonfiction', 'Memoir', 'Book Club', 'Social Justice', 'Race', 'Audiobook', 'Politics']"
The Seeress of Kell,DAVID EDDINGS,"Now in the final stages of their quest for his son, Garion and his companions travel to Kell to consult the only undamaged copy of the Malloreon Gospels. For centuries the Seers have guarded this book from the Grolims and even had their wizards put a curse of blindness on any Grolim who tried to enter Kell. So, as proclaimed in Guardians of the West, Belgarion the Godslayer sets out with those who must join him: the Eternal Man, the Guide, the Man with Two Lives, the Bearer of the Orb and the Silent Man, and the rest of his companions to The Place Which Is No More to make the final choice - darkness or light. But Zandramas the Sorceress will not be outdone. Though she may not enter Kell she still has young Geran and should she reach the final meeting place with him, then Garion must slay his son or the world will be no more. THUS ENDS THE EPIC STORY OF THE MALLOREON",2629,"['Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Science Fiction Fantasy', 'Young Adult', 'Adventure']"
"Many Lives, Many Masters",BRIAN LESLIE WEISS,"Describes the case of a young woman suffering from anxiety attacks, explains how hypnosis revealed her memories of past lives, and discusses the usefulness of regression therapy",2630,"['Nonfiction', 'Spirituality', 'Psychology', 'Self Help', 'Philosophy', 'Book Club', 'New Age']"
First Drop of Crimson,JEANIENE FROST,"From the New York Times bestselling author of the Night Huntress series comes a breathtaking new journey to the dark side of desire. The night is not safe for mortals. Denise MacGregor knows all too well what lurks in the shadows—her best friend is half-vampire Cat Crawfield—and she has already lost more than the average human could bear. But her family's past is wrapped in secrets and shrouded in darkness—and a demon shapeshifter has marked Denise as prey. Now her survival depends on an immortal who lusts for a taste of her. He is Spade, a powerful, mysterious vampire who has walked the earth for centuries and is now duty-bound to protect this endangered, alluring human—even if it means destroying his own kind. Denise may arouse his deepest hungers, but Spade knows he must fight his urge to have her as they face the nightmare together . . . Because once the first crimson drop falls, they will both be lost.",2647,"['Vampires', 'Paranormal', 'Paranormal Romance', 'Romance', 'Urban Fantasy', 'Fantasy', 'Demons']"
The Wrong Side of Goodbye,MICHAEL CONNELLY,"Detective Harry Bosch must track down someone who may never have existed in the new thriller from #1 New York Times bestselling author Michael Connelly. Harry Bosch is California's newest private investigator. He doesn't advertise, he doesn't have an office, and he's picky about who he works for, but it doesn't matter. His chops from thirty years with the LAPD speak for themselves. Soon one of Southern California's biggest moguls comes calling. The reclusive billionaire is nearing the end of his life and is haunted by one regret. When he was young, he had a relationship with a Mexican girl, his great love. But soon after becoming pregnant, she disappeared. Did she have the baby? And if so, what happened to it? Desperate to know whether he has an heir, the dying magnate hires Bosch, the only person he can trust. With such a vast fortune at stake, Harry realizes that his mission could be risky not only for himself but for the one he's seeking. But as he begins to uncover the haunting story--and finds uncanny links to his own past--he knows he cannot rest until he finds the truth. At the same time, unable to leave cop work behind completely, he volunteers as an investigator for a tiny cash-strapped police department and finds himself tracking a serial rapist who is one of the most baffling and dangerous foes he has ever faced. Swift, unpredictable, and thrilling, The Wrong Side of Goodbye shows that Michael Connelly ""continues to amaze with his consistent skill and sizzle"" (Cleveland Plain Dealer).",2631,"['Mystery', 'Fiction', 'Crime', 'Thriller', 'Audiobook', 'Mystery Thriller', 'Detective']"
This Side of the Grave,JEANIENE FROST,"Danger waits on both sides of the grave. Half-vampire Cat Crawfield and her vampire husband Bones have fought for their lives, as well as for their relationship. But just when they've triumphed over the latest battle, Cat's new and unexpected abilities threaten to upset a long-standing balance . . . With the mysterious disappearance of vampires, rumors abound that a species war is brewing. A zealot is inciting tensions between the vampires and ghouls, and if these two powerful groups clash, innocent mortals could become collateral damage. Now Cat and Bones are forced to seek help from a dangerous ""ally""—the ghoul queen of New Orleans herself. But the price of her assistance may prove more treacherous than even the threat of a supernatural war . . . to say nothing of the repercussions Cat never imagined.",2632,"['Vampires', 'Urban Fantasy', 'Paranormal', 'Paranormal Romance', 'Fantasy', 'Adult', 'Audiobook']"
Page,TAMORA PIERCE,"Keladry of Mindelan continues her training to become a squire with the aid of a new maid, the support of her friends, interference from some other pages, and some serious, even dangerous opposition. Reissue.",2633,"['Fantasy', 'Young Adult', 'Fiction', 'Young Adult Fantasy', 'Magic', 'Adventure', 'Middle Grade']"
Walter the Farting Dog Goes on a Cruise,WILLIAM KOTZWINKLE,"Everyone on board the fabulous floating palace, Sea Wind, is having the time of their life . . . until a mysterious and terrible odour begins to permeate the splendid ship. What can this awful odour be? All signs point to Walter, and he is banished down below, with the stinky cheeses. Walter doesn't mind - at least he has something to snack on.But will the ship ever be the same after Walter's cheese binge catches up to him?Read this hilarious story and find out.",2634,"['Young Adult', 'Contemporary', 'Fiction', 'Romance', 'Mystery', 'Realistic Fiction', 'Australia']"
Bigger Secrets,WILLIAM POUNDSTONE,"Why is there cocaine in U.S. money? How can you beat the odds at certain casinos? What are some of the loathsome secret rites at college fraternities? How did David Copperfield make the Statue of Liberty disappear? And just who has made deposits in the Nobel Prize sperm bank? All these and many more secrets are revealed in these pages, where knowledge is not only power, it's fun!",2635,"['Art', 'Drawing', 'Nonfiction', 'Reference', 'Design', 'Art Design', 'Education']"
Streams of Silver,R. A. SALVATORE,"Dark elf Drizzt Do'Urden and his companions, Bruenor, Wulfgar, and Regis, dwarven warriors each with their own special tribulation, fight for their ancestral home, Mithral Hall.",2636,"['Fantasy', 'Forgotten Realms', 'Fiction', 'High Fantasy', 'Dungeons and Dragons', 'Epic Fantasy', 'Science Fiction Fantasy']"
The Apostles,Y. BLAK MOORE,"The Apostles run Chicago’s streets. Their leader, “Solemn Shawn” Terson, is the most revered–and feared–man in town. Because of his past exploits, the Apostles have a loyalty among its members that has reached mythic proportions. When Insane Wayne, a former member of the rival gang, the Governors, comes groveling for admission to the coveted Apostles, he’s quickly turned down. His reaction is violent: He shoots a Governor and plants evidence that lays the murder rap on the Apostles, setting off a bloody series of retaliations. Solemn Shawn is ready to give up the gang world. His pregnant girlfriend wants another way of life and the cops are hot on his tail; he knows the time has come to step aside. But he must fight one more street war before handing over the reins of his empire. The head of the Governors has a score to settle with Shawn that dates back to their prison days–and Shawn and the Apostles must fight or flee as the streets around them erupt in violence. . . .",2637,"['Book Club', 'Fiction', 'Chick Lit', 'Humor', 'Contemporary', 'Friendship', 'Adult']"
Zebra Forest,ADINA GEWIRTZ,"Inspired by her brooding grandmother to strive for excellence in all things, resourceful 11-year-old Annie lies to her social worker and invents imaginative stories about her murdered father, until an escaped fugitive takes her family hostage, upending everything she thought she knew about herself, her family and their past. A first novel.",2638,"['Middle Grade', 'Fantasy', 'Fiction', 'Childrens', 'Humor', 'Animals', 'Young Adult']"
Plum Lucky 12-Copy Floor Display,JANET EVANOVICH,"Just after Valentine's Day, Diesel returns to once again turn New Jersey bounty hunter Stephanie Plum's world upside down.",2648,"['Mystery', 'Fiction', 'Humor', 'Chick Lit', 'Romance', 'Audiobook', 'Crime']"
Unhooked Generation,JILLIAN STRAUS,"A startling book full of jaw-dropping insights into the real reasons that young men and women are having a harder time than ever before committing to a relationship How many times have you or someone you care about wondered: Why am I still single? Is it me, or is it them? Unhooked Generation answers those questions with important discoveries about the unique challenges faced by today's young men and women. It shouldnt be surprising that were still single -- it's a miracle when we can make it work. Here are just a few of this generation's stumbling blocks: --The checklist - the secret set of requirements that men and women use to measure each prospective date. Is he tall enough/rich enough Is she pretty enough/flexible enough Does he/she like sports too much or not enough Like your dog --The DTR -- Have you ""Defined The Relationship""? Had ""The Talk""? It's when you ask where the relationship is going -- and it strikes fear into most hearts. --Settling -- When is it compromise and when is it giving in -- To this generation, those concepts are often synonymous. --Consumer sex -- Sex is a powerful commodity, and this generation has separated it from commitment while ignoring the long-term consequences. Based on interviews with one hundred men and women across the country, Unhooked Generation offers a page-turning analysis of what is keeping this generation unhooked -- and a sharp, concrete final chapter that explains how we can happily change course.",2639,"['Chick Lit', 'Romance', 'Fiction', 'Fantasy', 'Contemporary', 'Magical Realism', 'Contemporary Romance']"
Grievous Sin,FAYE KELLERMAN,"The birth of their baby girl has filled Rina Lazarus and her husband, LAPD Homicide Detective Peter Decker, with joy mingled with sorrow, since complications have ensured that they can have no more children. But the situation is grim at the hospital, which has been devastated by severe budget cutbacks and staff shortages. And when a respected nurse vanishes along with a newborn from the nursery, Peter and Rina fear for the safety of their own precious child—especially when the missing nurse's car is found at the bottom of a cliff . . . with a corpse inside. A most grievous sin has been committed. In pursuit of justice, Decker—with the help of his tough-as-nails partner, Marge, and an able assist from his teenage daughter, Cindy—follows a twisted path that winds through a sinister maze of hospital politics, misplaced passions, and torturous mind games that can all too easily lead to murder.",2640,"['Fiction', 'Historical Fiction', 'Book Club', 'African American', 'Historical', 'Literary Fiction', 'Novels']"
Giovanni's Room,JAMES BALDWIN,"First published in 1957, this book attempts to tackle the conflict between homosexual and heterosexual love. It tells of David, a young man awakening to his true homosexual nature, through a relationship with a barman named Giovanni, as he awaits his fiancee's arrival from Spain.",2641,"['Classics', 'Fiction', 'LGBT', 'Queer', 'Romance', 'Literary Fiction', 'Gay']"
Return to Glory,ALAN GRANT,"In this work filled with behind-the-scenes drama, Grant tells the dramatic story of Tyrone Willingham's inaugural season as Notre Dame's first African-American coach.",2642,"['Mystery', 'Fiction', 'Crime', 'Thriller', 'Audiobook', 'Legal Thriller', 'Mystery Thriller']"
